"B01001_001E","B11001_001E","B19049_005E","zipcode"
"100","51","0","04286"
"3216","1122","36375","04287"
"2062","724","42500","04289"
"1553","668","25625","04290"
"874","349","29167","04292"
"4094","1678","27115","04294"
"26080","11784","27176","04330"
"1872","854","29904","04342"
"72","28","0","04343"
"2871","1237","45875","04344"
"11628","4971","36016","04345"
"2061","903","38417","04346"
"2570","1175","45341","04347"
"2977","1210","35333","04348"
"1158","510","49327","04349"
"3574","1333","34278","04350"
"2582","1037","37614","04351"
"1429","626","49500","04352"
"2411","889","39196","04353"
"1517","614","44375","04354"
"2584","943","48375","04355"
"3426","1508","27083","04357"
"4221","1804","31228","04358"
"396","184","31645","04359"
"625","273","20000","04360"
"2546","1046","33542","04363"
"6059","2467","41719","04364"
"44907","19114","27141","04401"
"659","316","37083","04406"
"139","50","37500","04408"
"1057","417","25625","04410"
"1359","568","33036","04411"
"9457","4123","31007","04412"
"186","75","21250","04413"
"1433","634","30583","04414"
"138","76","38250","04415"
"5497","2293","33690","04416"
"392","164","22989","04417"
"1566","609","27833","04418"
"2759","1181","14338","04419"
"1693","386","48750","04421"
"1534","469","21806","04422"
"909","362","32273","04424"
